n,x,y,z,steps,n_mod24,n_mod48,n_mod72,n_mod120
2449,614,214830,2605135995,500430,1,1,1,49
2473,620,219040,16792263520,510265,1,25,25,73
2521,636,69748,131876031,1093777,1,25,1,1
2569,644,236349,55860613452,550624,1,25,49,49
2641,662,249774,5745925983,581911,1,1,49,1
2689,676,121186,8472598004,1027153,1,1,25,49
2713,680,263550,48620758200,614044,1,25,49,73
2833,710,287350,28899220525,669535,1,1,25,73
2881,722,297160,16266241240,692406,1,1,1,1
2953,740,312175,136434210700,727423,1,25,1,73
3001,752,322420,3870329680,751277,1,25,49,1
3049,765,212058,3232824210,1108253,1,25,25,49
3073,770,338031,114264618930,787714,1,1,49,73
3169,794,359682,569916129,837899,1,1,1,49
3241,812,375957,141343289892,876152,1,25,1,1
3313,830,392830,54010000285,915495,1,1,1,73
3409,854,415899,172971562302,969294,1,1,25,49
3433,860,421770,124522531260,982984,1,25,49,73
3529,884,445666,53473680676,1038706,1,25,1,49
3673,920,482740,81562784920,1125165,1,25,1,73
3721,932,495442,14083434292,1154768,1,25,49,1
3793,950,514765,370975692550,1199853,1,1,49,73
3889,975,344708,100542705900,1802461,1,1,1,49
4033,1010,581905,474058218730,1356433,1,1,1,73
4129,1034,609919,55403822122,1421759,1,1,25,49
4153,1040,617019,204998392560,1438324,1,25,49,73
4201,1053,402246,1689835446,2103196,1,25,25,1
4249,1064,645849,417120284952,1505564,1,25,1,49
4273,1070,653160,298631936760,1522614,1,1,25,73
4489,1126,339489,45491526,2862804,1,25,25,49
4513,1130,728530,185763857785,1698395,1,1,49,73
4561,1143,473964,6485249412,2478830,1,1,25,1
4681,1172,783742,69350194612,1827159,1,25,1,1
4729,1185,509550,2409661950,2664787,1,25,49,49
4801,1202,824572,3958770172,1922172,1,1,49,1
4849,1214,840957,380803830654,1960614,1,1,25,49
4921,1232,866097,750123147312,2019252,1,25,25,1
4993,1250,891610,278238045625,2078755,1,1,25,73
5089,1274,926199,857843661402,2159434,1,1,49,49
5113,1280,934950,611891116800,2179844,1,25,1,73
5161,1292,952575,488598579300,2220952,1,25,49,1
5209,1305,617990,28971989190,3232818,1,25,25,49
5281,1322,997449,10535056338,2325495,1,1,25,1
5329,1334,1015576,49449411016,2367873,1,1,1,49
5473,1370,1071145,1606291184290,2497513,1,1,1,73
5521,1382,1090398,3010043679,2541895,1,1,49,1
5569,1394,1109029,506446965082,2585875,1,1,25,49
5689,1424,1157356,26336793136,2698533,1,25,1,49
5809,1454,1206702,16229538549,2813582,1,1,49,49
5833,1460,1216600,518039229400,2836785,1,25,1,73
5881,1473,787564,13894991652,4120385,1,25,49,1
5953,1490,1267140,1123949378580,2954674,1,1,49,73
6073,1520,1318710,1217295926160,3074964,1,25,25,73
6121,1532,1339734,16401023628,3123860,1,25,1,1
6169,1544,1360714,209043770392,3172931,1,25,49,49
6241,1563,886854,12167341262,4640100,1,1,49,1
6361,1592,1446730,36810598120,3373507,1,25,25,1
6433,1610,1479591,2189188047690,3450234,1,1,25,73
6481,1622,1501972,9734280532,3502132,1,1,1,1
6649,1664,1580566,672587733376,3685766,1,25,25,49
6673,1670,1591990,887049664045,3712415,1,1,49,73
6769,1694,1638099,2683366695702,3819974,1,1,1,49
6793,1700,1649730,1905124701300,3847104,1,25,25,73
6913,1730,1708500,2043278866500,3984194,1,1,1,73
6961,1742,1732302,403961566437,4039708,1,1,49,1
7009,1755,1118258,319894474770,5851851,1,1,25,49
7033,1760,1768299,1683703575840,4123684,1,25,49,73
7129,1784,1817004,25906843032,4237130,1,25,1,49
7201,1802,1853748,707488485444,4323005,1,1,1,1
7321,1832,1916043,112218806424,4468283,1,25,49,1
7369,1844,1941271,57220903996,4527088,1,25,25,49
7393,1850,1953865,5344621859650,4556553,1,1,49,73
7441,1862,1979307,3917654220942,4615902,1,1,25,1
7489,1874,2005180,15016793020,4675900,1,1,1,49
7561,1895,754210,5702581810,9065561,1,25,1,1
7753,1940,2148690,3231805952580,5011024,1,25,49,73
7969,1994,2270034,693678124737,5294080,1,1,49,49
7993,2000,2283715,7301493598000,5326003,1,25,1,73
8113,2030,2352771,5535529025670,5487094,1,1,49,73
8161,2042,2380972,19431112492,5552492,1,1,25,1
8209,2054,2408757,3124210821654,5617694,1,1,1,49
8281,2072,2451177,6008266234152,5716652,1,25,1,1
8329,2084,2479960,20655586840,5783400,1,25,49,49
8353,2090,2493970,2176957732345,5816475,1,1,1,73
8473,2120,2566110,4609441806360,5984764,1,25,49,73
8521,2132,2595255,3626723528220,6052752,1,25,25,1
8593,2150,2639280,4876056603600,6155454,1,1,25,73
8641,2162,2668848,530414858064,6224414,1,1,1,1
8713,2180,2713480,2577038085160,6328545,1,25,1,73
8761,2193,1746660,86714100140,9141931,1,25,49,1
8953,2240,2864961,8207998666560,6681924,1,25,25,73
9001,2252,2896072,26067544072,6754072,1,25,1,1
9049,2264,2926786,105937946056,6826043,1,25,49,49
9073,2270,2942245,12119524953790,6862213,1,1,1,73
9121,2282,2973447,8841384088362,6935002,1,1,49,1
9241,2312,3052180,958976642920,7118660,1,25,25,1
9409,2354,3164140,361246699660,7379820,1,1,49,49
9433,2360,3180270,7079878910760,7417484,1,25,1,73
9481,2372,3212710,1901326755940,7493156,1,25,49,1
9529,2384,3245307,5671083113904,7569204,1,25,25,49
9601,2405,1216930,898749610,14616263,1,1,25,1
9649,2414,3327529,4559240479582,7761015,1,1,1,49
9769,2444,3410784,1566037598112,7955230,1,25,49,49
9793,2450,3427551,11748102430050,7994354,1,1,1,73
10009,2504,3580407,286690349304,8350887,1,25,1,49
10033,2510,3597550,4529824503325,8390935,1,1,25,73
10273,2570,3771660,9957789637260,8797114,1,1,49,73
10369,2595,2446220,76094565540,12804806,1,1,1,49
10609,2654,4022356,549779640436,9381922,1,1,25,49
10633,2660,4040541,16325967532140,9424384,1,25,49,73
10729,2684,4113840,485511282960,9595337,1,25,1,49
10753,2690,4132225,23905392698650,9638273,1,1,25,73
10801,2702,4169187,17382116071782,9724502,1,1,1,1
10849,2714,4206315,6518501117610,9811115,1,1,49,49
10921,2734,1990556,182313033484,16917454,1,25,49,1
10969,2744,4299849,18488697122952,10029324,1,25,25,49
10993,2750,4318680,13055693541000,10073254,1,1,49,73
11113,2780,4413450,13634974218300,10294344,1,25,25,73
11161,2792,4451844,99374061768,10383650,1,25,1,1
11329,2834,4586634,2831927723937,10698360,1,1,25,49
11401,2852,4645095,11618330194380,10834752,1,25,25,1
11593,2900,4802815,32293839891100,11202703,1,25,1,73
11689,2924,4882672,2454162779344,11388992,1,25,25,49
11809,2954,4983399,24834260609802,11623994,1,1,1,49
11881,2973,3211140,346864131660,16810513,1,25,1,1
11929,2985,3237104,1459076071440,16946572,1,25,49,49
11953,2990,5105640,18247286761080,11909174,1,1,1,73
12073,3020,5208640,9495470518720,12149465,1,25,49,73
12241,3062,5355438,32777958279,12490775,1,1,1,1
12289,3075,3435390,211087538550,17984715,1,1,49,49
12313,3080,5417721,29351695416120,12637244,1,25,1,73
12433,3110,5523805,42717384825430,12884733,1,1,49,73
12481,3122,5566527,30986217275202,12984402,1,1,25,1
12553,3140,5630920,11097535385320,13134625,1,25,25,73
12649,3164,5717349,32688073870452,13336264,1,25,49,49
12841,3212,5892195,3329113743780,13744161,1,25,25,1
12913,3230,5958430,12426004864285,13898695,1,1,25,73
12961,3242,6002802,4850675207937,14002208,1,1,1,1
13009,3254,6047559,157345390062,14106325,1,1,49,49
13033,3260,6069655,51576990476980,14158183,1,25,1,73
13081,3272,6114492,635210115912,14262709,1,25,49,1
13129,3284,6159382,6988570323604,14367508,1,25,25,49
13201,3302,6227104,10439907987808,14525504,1,1,25,1
13249,3314,6273402,41558151549,14632259,1,1,1,49
13273,3320,6295195,55481265828040,14684363,1,25,25,73
13441,3362,6455532,3557521030092,15058412,1,1,49,1
13513,3380,6524850,29801560740900,15220144,1,25,49,73
13633,3410,6641220,30874055520660,15491634,1,1,25,73
13729,3434,6735060,9339029512740,15710557,1,1,49,49
13873,3470,6877045,66211240227790,16041813,1,1,49,73
13969,3494,6972544,2789456870272,16264590,1,1,1,49
13993,3500,6996501,48951019246500,16320504,1,25,25,73
14041,3512,7044573,18283259337864,16432653,1,25,1,1
14089,3524,7092826,2412028966516,16545203,1,25,49,49
14233,3560,7238500,18338551549000,16885085,1,25,49,73
14281,3572,7287393,19565396773404,16999153,1,25,25,1
14353,3590,7361040,37929429556080,17170974,1,1,25,73
14449,3614,7459816,14982376512376,17401416,1,1,49,49
14521,3632,7534332,7641590750352,17575258,1,25,49,1
14689,3674,7709722,622864585519,17984328,1,1,1,49
14713,3680,7734835,83758733733280,18043043,1,25,25,73
14833,3710,7861491,61803032881590,18338534,1,1,1,73
14929,3734,7964622,59451920919,18577719,1,1,25,49
14953,3740,7989175,89357676063700,18636423,1,25,49,73
15073,3770,8117889,35484672860130,18936714,1,1,25,73
15121,3782,8169669,7659081026838,19057509,1,1,1,1
15313,3830,8378400,49138302213600,19544494,1,1,49,73
15409,3854,8483761,12288269685406,19790298,1,1,1,49
