n,n_mod24,n_mod48,n_mod72,n_mod120
12721,1,1,49,1
14401,1,1,1,1
15241,1,25,49,1
15289,1,25,25,49
15553,1,1,1,73
15649,1,1,25,49
15673,1,25,49,73
15721,1,25,25,1
15769,1,25,1,49
16009,1,25,25,49
16033,1,1,49,73
16081,1,1,25,1
16129,1,1,1,49
16273,1,1,1,73
16369,1,1,25,49
16393,1,25,49,73
16513,1,1,25,73
16633,1,25,1,73
16681,1,25,49,1
16921,1,25,1,1
16993,1,1,1,73
17041,1,1,49,1
17209,1,25,1,49
17233,1,1,25,73
17329,1,1,49,49
17353,1,25,1,73
17401,1,25,49,1
17449,1,25,25,49
17521,1,1,25,1
17689,1,25,49,49
17713,1,1,1,73
17761,1,1,49,1
17929,1,25,1,49
17953,1,1,25,73
18049,1,1,49,49
18313,1,25,25,73
18361,1,25,1,1
18481,1,1,49,1
18553,1,25,49,73
18721,1,1,1,1
18793,1,25,1,73
18889,1,25,25,49
18913,1,1,49,73
19009,1,1,1,49
19033,1,25,25,73
19081,1,25,1,1
19201,1,1,49,1
19249,1,1,25,49
19273,1,25,49,73
19321,1,25,25,1
19441,1,1,1,1
19561,1,25,49,1
19609,1,25,25,49
19681,1,1,25,1
19729,1,1,1,49
19801,1,25,1,1
19969,1,1,25,49
19993,1,25,49,73
20041,1,25,25,1
20089,1,25,1,49
20209,1,1,49,49
20233,1,25,1,73
20353,1,1,49,73
20521,1,25,1,1
20569,1,25,49,49
20593,1,1,1,73
20641,1,1,49,1
20929,1,1,49,49
21049,1,25,25,49
21121,1,1,25,1
21169,1,1,1,49
21193,1,25,25,73
21289,1,25,49,49
21313,1,1,1,73
21529,1,25,1,49
21649,1,1,49,49
21673,1,25,1,73
21793,1,1,49,73
21841,1,1,25,1
22009,1,25,49,49
22249,1,25,1,49
22273,1,1,25,73
22441,1,25,49,1
22489,1,25,25,49
22633,1,25,25,73
22753,1,1,1,73
22801,1,1,49,1
22969,1,25,1,49
22993,1,1,25,73
23041,1,1,1,1
23209,1,25,25,49
23233,1,1,49,73
23281,1,1,25,1
23401,1,25,1,1
23473,1,1,1,73
23521,1,1,49,1
23689,1,25,1,49
23761,1,1,1,1
23929,1,25,25,49
24049,1,1,1,49
24073,1,25,25,73
24121,1,25,1,1
24169,1,25,49,49
24481,1,1,1,1
24529,1,1,49,49
24553,1,25,1,73
24601,1,25,49,1
24649,1,25,25,49
24793,1,25,25,73
24841,1,25,1,1
24889,1,25,49,49
24913,1,1,1,73
24961,1,1,49,1
25081,1,25,25,1
25129,1,25,1,49
25153,1,1,25,73
25321,1,25,49,1
25393,1,1,49,73
25441,1,1,25,1
25513,1,25,25,73
25609,1,25,49,49
25681,1,1,49,1
25801,1,25,25,1
25873,1,1,25,73
25969,1,1,49,49
26113,1,1,49,73
26161,1,1,25,1
26209,1,1,1,49
26233,1,25,25,73
26569,1,25,1,49
26641,1,1,1,1
26689,1,1,49,49
26713,1,25,1,73
26761,1,25,49,1
26833,1,1,49,73
26929,1,1,1,49
27001,1,25,1,1
27073,1,1,1,73
27121,1,1,49,1
27241,1,25,25,1
27361,1,1,1,1
27433,1,25,1,73
27481,1,25,49,1
27529,1,25,25,49
27601,1,1,25,1
27649,1,1,1,49
27793,1,1,1,73
27913,1,25,49,73
27961,1,25,25,1
28273,1,1,49,73
28321,1,1,25,1
28393,1,25,25,73
28513,1,1,1,73
28561,1,1,49,1
28753,1,1,25,73
28873,1,25,1,73
28921,1,25,49,1
29089,1,1,1,49
29209,1,25,49,49
29329,1,1,25,49
29401,1,25,25,1
29449,1,25,1,49
29473,1,1,25,73
29569,1,1,49,49
29641,1,25,49,1
29761,1,1,25,1
29833,1,25,25,73
29881,1,25,1,1
30001,1,1,49,1
30169,1,25,1,49
30193,1,1,25,73
30241,1,1,1,1
30289,1,1,49,49
30361,1,25,49,1
30433,1,1,49,73
30553,1,25,25,73
30649,1,25,49,49
30673,1,1,1,73
30721,1,1,49,1
30961,1,1,1,1
31033,1,25,1,73
31081,1,25,49,1
31129,1,25,25,49
31153,1,1,49,73
31249,1,1,1,49
31489,1,1,25,49
31513,1,25,49,73
31561,1,25,25,1
31609,1,25,1,49
31729,1,1,49,49
31849,1,25,25,49
31873,1,1,49,73
31969,1,1,1,49
32209,1,1,25,49
32233,1,25,49,73
32281,1,25,25,1
32353,1,1,25,73
32401,1,1,1,1
32449,1,1,49,49
32641,1,1,25,1
32713,1,25,25,73
32761,1,25,1,1
32809,1,25,49,49
32833,1,1,1,73
33001,1,25,25,1
33049,1,25,1,49
33073,1,1,25,73
33193,1,25,1,73
33241,1,25,49,1
33313,1,1,49,73
33361,1,1,25,1
33409,1,1,1,49
33433,1,25,25,73
33601,1,1,49,1
33673,1,25,49,73
33721,1,25,25,1
33769,1,25,1,49
33841,1,1,1,1
33889,1,1,49,49
33961,1,25,49,1
34033,1,1,49,73
34321,1,1,49,1
34369,1,1,25,49
34393,1,25,49,73
34489,1,25,1,49
34513,1,1,25,73
34729,1,25,25,49
34849,1,1,1,49
34873,1,25,25,73
34993,1,1,1,73
35041,1,1,49,1
35089,1,1,25,49
35113,1,25,49,73
35281,1,1,1,1
35353,1,25,1,73
35449,1,25,25,49
35473,1,1,49,73
35569,1,1,1,49
35809,1,1,25,49
35929,1,25,1,49
36001,1,1,1,1
36169,1,25,25,49
36313,1,25,25,73
36361,1,25,1,1
36433,1,1,1,73
36529,1,1,25,49
36721,1,1,1,1
36793,1,25,1,73
36841,1,25,49,1
37249,1,1,25,49
37273,1,25,49,73
37321,1,25,25,1
37369,1,25,1,49
37393,1,1,25,73
37489,1,1,49,49
37561,1,25,49,1
37633,1,1,49,73
37681,1,1,25,1
37753,1,25,25,73
37801,1,25,1,1
37849,1,25,49,49
37921,1,1,49,1
38041,1,25,25,1
38113,1,1,25,73
38329,1,25,25,49
38353,1,1,49,73
38449,1,1,1,49
38473,1,25,25,73
38521,1,25,1,1
38569,1,25,49,49
38593,1,1,1,73
38713,1,25,49,73
38833,1,1,25,73
38953,1,25,1,73
39001,1,25,49,1
39241,1,25,1,1
39313,1,1,1,73
39361,1,1,49,1
39481,1,25,25,1
39529,1,25,1,49
39601,1,1,1,1
39673,1,25,1,73
39769,1,25,25,49
39793,1,1,49,73
39841,1,1,25,1
40009,1,25,49,49
40033,1,1,1,73
40129,1,1,25,49
40153,1,25,49,73
40369,1,1,49,49
40393,1,25,1,73
40441,1,25,49,1
40849,1,1,25,49
40921,1,25,25,1
40993,1,1,25,73
41113,1,25,1,73
41233,1,1,49,73
41281,1,1,25,1
41329,1,1,1,49
41353,1,25,25,73
41449,1,25,49,49
41473,1,1,1,73
41521,1,1,49,1
41593,1,25,49,73
41809,1,1,49,49
41881,1,25,49,1
42001,1,1,25,1
42049,1,1,1,49
42073,1,25,25,73
42121,1,25,1,1
42169,1,25,49,49
42289,1,1,25,49
42433,1,1,25,73
42553,1,25,1,73
42649,1,25,25,49
42793,1,25,25,73
42841,1,25,1,1
42913,1,1,1,73
43081,1,25,25,1
43201,1,1,1,1
43273,1,25,1,73
43321,1,25,49,1
43369,1,25,25,49
43393,1,1,49,73
43441,1,1,25,1
43561,1,25,1,1
43609,1,25,49,49
43633,1,1,1,73
43753,1,25,49,73
43849,1,25,1,49
43873,1,1,25,73
43969,1,1,49,49
44089,1,25,25,49
44161,1,1,25,1
44281,1,25,1,1
44329,1,25,49,49
44449,1,1,25,49
44521,1,25,25,1
44593,1,1,25,73
44641,1,1,1,1
44713,1,25,1,73
44881,1,1,25,1
44953,1,25,25,73
45049,1,25,49,49
45193,1,25,49,73
45289,1,25,1,49
45409,1,1,49,49
45433,1,25,1,73
45553,1,1,49,73
45601,1,1,25,1
45673,1,25,25,73
45769,1,25,49,49
45841,1,1,49,1
45913,1,25,49,73
46009,1,25,1,49
46129,1,1,49,49
46249,1,25,25,49
46609,1,1,25,49
46753,1,1,25,73
46873,1,25,1,73
46921,1,25,49,1
46969,1,25,25,49
46993,1,1,49,73
47041,1,1,25,1
47089,1,1,1,49
47161,1,25,1,1
47281,1,1,49,1
47353,1,25,49,73
47521,1,1,1,1
47569,1,1,49,49
47593,1,25,1,73
47689,1,25,25,49
47713,1,1,49,73
47761,1,1,25,1
47809,1,1,1,49
47833,1,25,25,73
47881,1,25,1,1
47953,1,1,1,73
48193,1,1,25,73
48241,1,1,1,1
48289,1,1,49,49
48409,1,25,25,49
48649,1,25,49,49
48673,1,1,1,73
49009,1,1,49,49
49081,1,25,49,1
49153,1,1,49,73
49201,1,1,25,1
49273,1,25,25,73
49369,1,25,49,49
49513,1,25,49,73
49609,1,25,1,49
49633,1,1,25,73
49681,1,1,1,1
49729,1,1,49,49
49801,1,25,49,1
49921,1,1,25,1
